record_id,month,day,year,Avg1,Avg2
474376,1,1,1853,25,35
474377,2,1,1853,65,45
474378,3,1,1853,55,25
474379,4,1,1853,34,65
474380,5,1,1853,24,26
474381,6,1,1853,51.9062,36.9572
474382,7,1,1853,52.3886,34.5488
474383,8,1,1853,52.853,33.5498
474384,9,1,1853,52.5776,33.638
474385,10,1,1853,54.8726,33.9836
474386,11,1,1853,56.6888,34.2518
474387,12,1,1853,59.846,37.5062
474388,1,1,1854,64.5908,36.23
474389,2,1,1854,65.372,35.6576
474390,3,1,1854,64.9688,35.3966
474391,4,1,1854,59.927,35.2022
474392,5,1,1854,57.5042,34.511
474393,6,1,1854,54.518,34.7972
474394,7,1,1854,53.1914,35.024
474395,8,1,1854,52.8044,34.3544
474396,9,1,1854,53.3912,33.683
474397,10,1,1854,54.7538,37.4108
474398,11,1,1854,57.317,35.0024
474399,12,1,1854,60.0296,35.924
474400,1,1,1855,63.3578,36.0716
474401,2,1,1855,64.346,37.13
474402,3,1,1855,63.6584,34.3058
474403,4,1,1855,61.5848,34.7594
474404,5,1,1855,58.0028,34.1996
474405,6,1,1855,54.842,33.7568
474406,7,1,1855,53.1554,33.5048
474407,8,1,1855,52.3094,34.8422
474408,9,1,1855,52.61,34.1042
474409,10,1,1855,57.407,34.2302
474410,11,1,1855,58.1558,33.7622
474411,12,1,1855,60.9206,35.7026
474412,1,1,1856,61.8422,37.9166
474413,2,1,1856,62.033,37.8878
474414,3,1,1856,62.1266,35.9114
474415,4,1,1856,59.801,36.2966
474416,5,1,1856,55.4288,36.2642
474417,6,1,1856,53.2688,35.5856
474418,7,1,1856,50.9306,36.6656
474419,8,1,1856,51.5516,36.3308
474420,9,1,1856,52.8494,34.8008
474421,10,1,1856,53.9078,37.8698
474422,11,1,1856,55.5854,37.6772
474423,12,1,1856,63.7466,34.6208
474424,1,1,1857,63.5648,35.9654
474425,2,1,1857,63.1166,37.9544
474426,3,1,1857,62.1446,36.2156
474427,4,1,1857,58.5608,35.744
474428,5,1,1857,53.8034,37.3208
474429,6,1,1857,52.9538,34.2572
474430,7,1,1857,52.6676,33.5102
474431,8,1,1857,52.3364,33.5246
474432,9,1,1857,53.3354,33.7424
474433,10,1,1857,53.9888,34.826
474434,11,1,1857,56.4602,36.635
474435,12,1,1857,59.5634,38.6168
474436,1,1,1858,61.0502,40.5032
474437,2,1,1858,63.3416,35.8844
474438,3,1,1858,62.8052,36.8564
474439,4,1,1858,57.5726,39.1532
474440,5,1,1858,55.0436,39.0002
474441,6,1,1858,53.4056,34.5164
474442,7,1,1858,51.0404,35.753
474443,8,1,1858,52.4174,33.9206
474444,9,1,1858,53.5388,33.6758
474445,10,1,1858,54.6008,35.2004
474446,11,1,1858,57.254,36.608
474447,12,1,1858,62.276,34.5866
474448,1,1,1859,64.5872,34.0592
474449,2,1,1859,65.4764,33.8522
474450,3,1,1859,63.0788,35.7314
474451,4,1,1859,61.016,34.7756
474452,5,1,1859,57.407,34.8746
474453,6,1,1859,54.3794,34.5668
474454,7,1,1859,52.7036,33.2924
474455,8,1,1859,51.89,34.349
474456,9,1,1859,52.3202,33.5084
474457,10,1,1859,57.3152,34.0232
474458,11,1,1859,58.595,35.1392
474459,12,1,1859,61.4156,35.3012
474460,1,1,1860,65.2388,36.3524
474461,2,1,1860,65.804,35.2274
474462,3,1,1860,63.7088,35.357
474463,4,1,1860,62.105,34.133
474464,5,1,1860,58.3124,33.386
474465,6,1,1860,55.3352,34.844
474466,7,1,1860,52.6028,33.6146
474467,8,1,1860,51.4688,35.2436
474468,9,1,1860,52.9808,33.818
474469,10,1,1860,55.7942,33.3032
474470,11,1,1860,60.0872,35.5496
474471,12,1,1860,64.9634,40.3448
474472,1,1,1861,63.9734,36.6116
474473,2,1,1861,68.9846,38.003
474474,3,1,1861,65.6078,34.7774
474475,4,1,1861,63.0572,36.1778
474476,5,1,1861,60.3302,36.32
474477,6,1,1861,57.7382,36.41
474478,7,1,1861,54.6116,34.3418
474479,8,1,1861,52.3562,33.413
474480,9,1,1861,55.2866,34.3436
474481,10,1,1861,58.3754,36.2282
474482,11,1,1861,60.6596,35.3714
474483,12,1,1861,64.2272,34.8206
474484,1,1,1862,64.283,35.9618
474485,2,1,1862,68.4356,37.9508
474486,3,1,1862,65.9192,36.2732
474487,4,1,1862,62.0546,36.869
474488,5,1,1862,57.542,34.5362
474489,6,1,1862,54.3596,34.5884
474490,7,1,1862,54.4784,36.6296
474491,8,1,1862,53.5118,35.1788
474492,9,1,1862,56.0588,36.2642
474493,10,1,1862,55.9904,35.0258
474494,11,1,1862,60.6974,36.176
474495,12,1,1862,62.2904,36.2318
474496,1,1,1863,65.9498,35.8754
474497,2,1,1863,64.2596,38.1938
474498,3,1,1863,63.6476,33.4778
474499,4,1,1863,58.6634,36.4208
474500,5,1,1863,57.0434,34.9592
474501,6,1,1863,54.113,35.0888
474502,7,1,1863,52.7378,36.473
474503,8,1,1863,50.9648,36.4622
474504,9,1,1863,51.998,35.0942
474505,10,1,1863,55.1426,36.4136
474506,11,1,1863,55.328,36.9932
474507,12,1,1863,59.7524,34.1114
474508,1,1,1864,67.3232,34.5272
474509,2,1,1864,68.0738,38.0174
474510,3,1,1864,64.0526,35.2328
474511,4,1,1864,63.0752,36.8744
474512,5,1,1864,58.01,35.1392
474513,6,1,1864,55.0634,34.2806
474514,7,1,1864,55.4144,33.89
474515,8,1,1864,50.7146,35.4272
474516,9,1,1864,55.904,35.0474
474517,10,1,1864,58.3358,34.0502
474518,11,1,1864,61.8296,35.3516
474519,12,1,1864,66.3548,35.699
474520,1,1,1865,66.8336,34.2896
474521,2,1,1865,67.5932,34.3958
474522,3,1,1865,65.3756,33.53
474523,4,1,1865,61.6586,34.1438
474524,5,1,1865,56.867,34.1672
474525,6,1,1865,53.8502,34.538
474526,7,1,1865,52.3886,34.0268
474527,8,1,1865,52.124,33.6254
474528,9,1,1865,54.1544,33.35
474529,10,1,1865,55.0238,33.6866
474530,11,1,1865,59.4608,33.6542
474531,12,1,1865,61.8836,34.5542
474532,1,1,1866,66.3566,34.7252
474533,2,1,1866,68.846,35.87
474534,3,1,1866,66.1676,37.0598
474535,4,1,1866,61.5794,33.9728
474536,5,1,1866,57.812,35.6576
474537,6,1,1866,53.7026,33.3356
474538,7,1,1866,54.5684,35.5928
474539,8,1,1866,54.6854,35.4722
474540,9,1,1866,56.7734,34.8548
474541,10,1,1866,59.3294,35.5748
474542,11,1,1866,63.3092,36.5792
474543,12,1,1866,66.191,33.9656
474544,1,1,1867,68.5094,33.8522
474545,2,1,1867,66.992,33.7244
474546,3,1,1867,64.5098,34.1978
474547,4,1,1867,62.7998,34.169
474548,5,1,1867,57.4934,33.1286
474549,6,1,1867,52.9466,33.1952
474550,7,1,1867,54.6908,33.7262
474551,8,1,1867,52.8314,33.9566
474552,9,1,1867,55.5782,33.3356
474553,10,1,1867,57.209,33.1304
474554,11,1,1867,57.3314,36.9788
474555,12,1,1867,63.041,34.8782
474556,1,1,1868,63.7088,33.5264
474557,2,1,1868,62.9726,35.492
474558,3,1,1868,63.3146,34.3634
474559,4,1,1868,60.2762,35.9942
474560,5,1,1868,56.8994,34.4786
474561,6,1,1868,54.005,33.782
474562,7,1,1868,53.5982,34.1078
474563,8,1,1868,52.052,33.4994
474564,9,1,1868,53.7008,33.3518
474565,10,1,1868,55.3118,33.566
474566,11,1,1868,58.5104,34.1096
474567,12,1,1868,60.7874,34.1708
474568,1,1,1869,64.7744,36.3254
474569,2,1,1869,65.1074,36.3668
474570,3,1,1869,63.2642,33.8342
474571,4,1,1869,61.1204,34.7054
474572,5,1,1869,56.66,33.5678
474573,6,1,1869,54.8294,33.935
474574,7,1,1869,51.449,33.2942
474575,8,1,1869,52.9124,33.3734
474576,9,1,1869,53.8574,33.1178
474577,10,1,1869,55.9886,33.7802
474578,11,1,1869,59.4338,33.0458
474579,12,1,1869,62.9906,35.015
474580,1,1,1870,65.3702,33.7406
474581,2,1,1870,65.9174,34.394
474582,3,1,1870,64.382,33.9476
474583,4,1,1870,60.0296,34.0466
474584,5,1,1870,57.7994,33.98
474585,6,1,1870,56.1974,33.9854
474586,7,1,1870,53.3066,33.4436
474587,8,1,1870,52.9034,33.107
474588,9,1,1870,54.1166,33.6362
474589,10,1,1870,57.0704,33.728
474590,11,1,1870,61.1492,34.7918
474591,12,1,1870,59.1656,34.3742
474592,1,1,1871,62.915,34.3184
474593,2,1,1871,64.0076,35.1644
474594,3,1,1871,63.338,33.8234
474595,4,1,1871,59.6606,33.6416
474596,5,1,1871,58.2116,33.0944
474597,6,1,1871,54.77,32.9648
474598,7,1,1871,54.1724,32.981
474599,8,1,1871,52.556,33.3392
474600,9,1,1871,53.0798,33.1142
474601,10,1,1871,55.9292,33.872
474602,11,1,1871,58.5752,33.692
474603,12,1,1871,61.3958,33.7352
474604,1,1,1872,66.4898,36.6854
474605,2,1,1872,68.0234,34.6784
474606,3,1,1872,64.1642,33.9134
474607,4,1,1872,61.9844,35.069
474608,5,1,1872,59.2718,33.6362
474609,6,1,1872,55.184,33.908
474610,7,1,1872,54.005,33.674
474611,8,1,1872,51.9728,33.9512
474612,9,1,1872,54.725,33.2042
474613,10,1,1872,55.328,33.4904
474614,11,1,1872,60.125,33.7838
474615,12,1,1872,65.6204,35.3786
474616,1,1,1873,64.2056,34.1366
474617,2,1,1873,64.6934,33.4868
474618,3,1,1873,64.9202,33.8072
474619,4,1,1873,60.161,35.1158
474620,5,1,1873,58.3592,33.4724
474621,6,1,1873,55.4774,33.1826
474622,7,1,1873,52.6298,33.2186
474623,8,1,1873,53.3606,32.801
474624,9,1,1873,54.2048,33.809
474625,10,1,1873,56.3846,33.5138
474626,11,1,1873,59.3672,33.1106
474627,12,1,1873,63.9068,33.4904
474628,1,1,1874,66.3242,34.8296
474629,2,1,1874,66.3098,34.2734
474630,3,1,1874,65.3252,34.5434
474631,4,1,1874,61.0412,33.8036
474632,5,1,1874,57.8102,33.9134
474633,6,1,1874,54.1598,34.3436
474634,7,1,1874,52.1906,33.3482
474635,8,1,1874,53.7998,33.026
474636,9,1,1874,54.9284,32.8478
474637,10,1,1874,54.9644,33.0224
474638,11,1,1874,59.0234,33.2366
474639,12,1,1874,61.88,33.7172
474640,1,1,1875,64.58,33.6434
474641,2,1,1875,66.9002,34.2158
474642,3,1,1875,64.328,33.3932
474643,4,1,1875,63.2516,33.9026
474644,5,1,1875,58.1936,33.4238
474645,6,1,1875,55.283,33.7712
474646,7,1,1875,54.3596,33.5912
474647,8,1,1875,52.3022,32.8604
474648,9,1,1875,52.7882,33.1052
474649,10,1,1875,55.8266,33.0854
474650,11,1,1875,57.7958,33.8144
474651,12,1,1875,63.6638,33.6596
474652,1,1,1876,65.3684,33.764
474653,2,1,1876,66.191,33.6992
474654,3,1,1876,65.5322,33.7802
474655,4,1,1876,61.9322,33.7154
474656,5,1,1876,58.2872,33.188
474657,6,1,1876,55.0526,34.5218
474658,7,1,1876,53.9006,33.9188
474659,8,1,1876,53.2256,33.4616
474660,9,1,1876,54.5594,32.7956
474661,10,1,1876,58.4798,33.4634
474662,11,1,1876,60.8378,33.9296
474663,12,1,1876,61.7522,34.5758
474664,1,1,1877,64.5638,34.5128
474665,2,1,1877,65.4908,34.7774
474666,3,1,1877,64.9724,33.3734
474667,4,1,1877,59.9396,34.2932
474668,5,1,1877,56.6096,33.3482
474669,6,1,1877,54.2228,34.8152
474670,7,1,1877,51.7082,33.215
474671,8,1,1877,53.0798,33.8036
474672,9,1,1877,53.4452,33.1988
474673,10,1,1877,56.5988,33.5372
474674,11,1,1877,59.7758,33.6866
474675,12,1,1877,61.889,35.7062
474676,1,1,1878,62.4236,34.3778
474677,2,1,1878,63.1724,35.1212
474678,3,1,1878,64.0778,34.2644
474679,4,1,1878,62.186,33.9962
474680,5,1,1878,56.1326,34.052
474681,6,1,1878,55.4378,33.7982
474682,7,1,1878,52.4426,33.5354
474683,8,1,1878,51.7064,33.5192
474684,9,1,1878,56.057,33.692
474685,10,1,1878,56.237,33.4418
474686,11,1,1878,60.3158,34.2428
474687,12,1,1878,64.8428,34.4606
474688,1,1,1879,64.2218,33.7712
474689,2,1,1879,63.4064,33.9836
474690,3,1,1879,64.6448,33.1502
474691,4,1,1879,58.9316,34.4192
474692,5,1,1879,58.8992,34.0988
474693,6,1,1879,54.2822,33.449
474694,7,1,1879,52.457,33.8054
474695,8,1,1879,52.3832,33.4094
474696,9,1,1879,55.8914,33.341
474697,10,1,1879,56.2028,33.3374
474698,11,1,1879,60.5894,33.4724
474699,12,1,1879,62.8142,33.5606
474700,1,1,1880,65.156,34.0232
474701,2,1,1880,67.4546,33.9008
474702,3,1,1880,65.849,33.476
474703,4,1,1880,62.5262,33.8288
474704,5,1,1880,58.9658,33.2708
474705,6,1,1880,54.149,33.2654
474706,7,1,1880,53.447,33.6704
474707,8,1,1880,52.9862,33.6758
474708,9,1,1880,55.6736,33.305
474709,10,1,1880,56.372,34.0718
474710,11,1,1880,60.2996,34.7792
474711,12,1,1880,61.88,34.1312
474712,1,1,1881,62.8358,34.475
474713,2,1,1881,66.5078,33.6884
474714,3,1,1881,65.1218,33.485
